Telescope setup name: Twinkle Exposure Time: 1.0000 s
magB; magV; magR; fwhm_x; fwhm_y; stdev_x; stdev_y 
+13.0000; +13.0000; +13.0000; +8.5000; +8.5000; +0.1107; +0.1147 
+13.0000; +13.0000; +13.0000; +9.0000; +9.0000; +0.1089; +0.1248 
+13.0000; +13.0000; +13.0000; +9.5000; +9.5000; +0.1306; +0.1211 
+13.0000; +13.0000; +13.0000; +10.0000; +10.0000; +0.1004; +0.1207 
+13.0000; +13.0000; +13.0000; +10.5000; +10.5000; +0.1130; +0.1484 
+13.0000; +13.0000; +13.0000; +11.0000; +11.0000; +0.1140; +0.1413 
+13.5000; +13.5000; +13.5000; +1.0000; +1.0000; +0.1835; +0.1778 
+13.5000; +13.5000; +13.5000; +1.5000; +1.5000; +0.1658; +0.1906 
+13.5000; +13.5000; +13.5000; +2.0000; +2.0000; +0.1618; +0.1667 
+13.5000; +13.5000; +13.5000; +2.5000; +2.5000; +0.1507; +0.1664 
+13.5000; +13.5000; +13.5000; +3.0000; +3.0000; +0.1322; +0.1649 
+13.5000; +13.5000; +13.5000; +3.5000; +3.5000; +0.1437; +0.1674 
+13.5000; +13.5000; +13.5000; +4.0000; +4.0000; +0.1305; +0.1546 
+13.5000; +13.5000; +13.5000; +4.5000; +4.5000; +0.1354; +0.1537 
+13.5000; +13.5000; +13.5000; +5.0000; +5.0000; +0.1364; +0.1553 
+13.5000; +13.5000; +13.5000; +5.5000; +5.5000; +0.1558; +0.1611 
+13.5000; +13.5000; +13.5000; +6.0000; +6.0000; +0.1435; +0.1577 
+13.5000; +13.5000; +13.5000; +6.5000; +6.5000; +0.1396; +0.1466 
+13.5000; +13.5000; +13.5000; +7.0000; +7.0000; +0.1510; +0.1459 
+13.5000; +13.5000; +13.5000; +7.5000; +7.5000; +0.1321; +0.1569 
+13.5000; +13.5000; +13.5000; +8.0000; +8.0000; +0.1402; +0.1671 
+13.5000; +13.5000; +13.5000; +8.5000; +8.5000; +0.1552; +0.1577 
+13.5000; +13.5000; +13.5000; +9.0000; +9.0000; +0.1432; +0.1525 
+13.5000; +13.5000; +13.5000; +9.5000; +9.5000; +0.1608; +0.1702 
+13.5000; +13.5000; +13.5000; +10.0000; +10.0000; +0.1609; +0.1618 
+13.5000; +13.5000; +13.5000; +10.5000; +10.5000; +0.1606; +0.1718 
+13.5000; +13.5000; +13.5000; +11.0000; +11.0000; +0.1536; +0.1760 
+14.0000; +14.0000; +14.0000; +1.0000; +1.0000; +0.2665; +0.2793 
+14.0000; +14.0000; +14.0000; +1.5000; +1.5000; +0.2888; +0.2847 
+14.0000; +14.0000; +14.0000; +2.0000; +2.0000; +0.2367; +0.2563 
+14.0000; +14.0000; +14.0000; +2.5000; +2.5000; +0.2425; +0.2538 
+14.0000; +14.0000; +14.0000; +3.0000; +3.0000; +0.2435; +0.2427 
+14.0000; +14.0000; +14.0000; +3.5000; +3.5000; +0.2208; +0.2217 
+14.0000; +14.0000; +14.0000; +4.0000; +4.0000; +0.2245; +0.2432 
+14.0000; +14.0000; +14.0000; +4.5000; +4.5000; +0.1863; +0.2218 
+14.0000; +14.0000; +14.0000; +5.0000; +5.0000; +0.2129; +0.2357 
+14.0000; +14.0000; +14.0000; +5.5000; +5.5000; +0.1928; +0.2185 
+14.0000; +14.0000; +14.0000; +6.0000; +6.0000; +0.1908; +0.1981 
+14.0000; +14.0000; +14.0000; +6.5000; +6.5000; +0.2135; +0.2115 
+14.0000; +14.0000; +14.0000; +7.0000; +7.0000; +0.2017; +0.2329 
+14.0000; +14.0000; +14.0000; +7.5000; +7.5000; +0.1768; +0.2105 
+14.0000; +14.0000; +14.0000; +8.0000; +8.0000; +0.2131; +0.2106 
+14.0000; +14.0000; +14.0000; +8.5000; +8.5000; +0.2035; +0.2248 
+14.0000; +14.0000; +14.0000; +9.0000; +9.0000; +0.1981; +0.2089 
+14.0000; +14.0000; +14.0000; +9.5000; +9.5000; +0.1930; +0.2068 
+14.0000; +14.0000; +14.0000; +10.0000; +10.0000; +0.2006; +0.2421 
+14.0000; +14.0000; +14.0000; +10.5000; +10.5000; +0.2407; +0.2207 
+14.0000; +14.0000; +14.0000; +11.0000; +11.0000; +0.2185; +0.2171 
